id,resource_id,resource_label,type,motion,value,frame
1,4,,serif,,Is there anything you want to do? Anything you’re interested in?,
2,5,,serif,,……I don’t have anything like that.,
3,4,,serif,,Don’t say you don’t have anything. It can just be something simple.,
4,4,,serif,,If anything manages to shake up your heart､ even a little､ then you should start from there.,
5,5,,serif,,Well､ yeah､ but… But there’s no way my parents would allow me to do that sort of thing!,
6,4,,serif,,…You know how you said I quit being a police officer､ and now I’m an idol?,
7,4,,serif,,There’s stuff that I couldn’t have done when I was a policeman.,
8,4,,serif,,But now､ there are things I can do because I’m an idol.,
9,4,,y,,0,0
10,4,,motion,happy,,
11,4,,face,,joy,
12,4,,serif,,I realized that there isn’t just one way of achieving my dreams.,
13,5,,serif,,…What’s your dream､ Akuno-san?,
14,4,,face,,normal,
15,4,,serif,,Let me see… Tomorrow､ we’ll be holding a live in the event space of this mall.,
16,4,,y,,0,0
17,4,,motion,happy,,
18,4,,face,,joy,
19,4,,serif,,I think you’ll be able to hear our song if you’re over here too. I want you to listen if you feel like it.,
20,5,,serif,,Your song… but why?,
21,4,,face,,normal,
22,4,,serif,,I always put the messages I want to say into my songs. That’s why I sing them.,
23,4,,y,,0,0
24,4,,motion,happy,,
25,4,,face,,joy,
26,4,,serif,,I’d be glad if you could receive those messages. Hope you’ll be here tomorrow.,
